Sample site,Location-N,Location-E,Altitude (m),Mean annual precipitation (mm),Vegetation type,Collected species,N2-fixing,Mycorrhizal types*,_13C (ä),_15N (ä),
"Mingqingtaojiajing, Gansu",38¡57«N,102¡16«E,1340,121.4,Desert,Kalidium cuspidatum (Ung.-Sternb.) Grub.,No,AM,-26.2,3.12,
"Mingqinghongshagang, Gansu",38¡58«N,102¡29«E,1400,107.6,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-26.99,1.01,
"Mingqinghongshagang, Gansu",38¡58«N,102¡29«E,1400,107.6,Desert,Nitraria sibirica Pall.,No,AM,-26.17,4.56,
"Mingqinghongshagang, Gansu",38¡58«N,102¡29«E,1400,107.6,Desert,Salsola collina Pall.,No,Non,-13.05,3.92,
"Mingqinghongguozijing, Gansu",38¡55«N,102¡43«E,1380,106,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-26.59,0.32,
"Mingqinghongguozijing, Gansu",38¡55«N,102¡43«E,1380,106,Desert,Nitraria sibirica Pall.,No,AM,-24.45,3.96,
"Mingqinghongguozijing, Gansu",38¡55«N,102¡43«E,1380,106,Desert,Zygophyllum gobicum Maxim.,No,AM,-26.59,0.32,
"Mingqingxiaojingzi, Gansu",38¡50«N,102¡54«E,1350,105,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-27.72,1.57,
"Mingqingxiaojingzi, Gansu",38¡50«N,102¡54«E,1350,105,Desert,Nitraria sibirica Pall.,No,AM,-27.51,2.89,
"Mingqingxiaojingzi, Gansu",38¡50«N,102¡54«E,1350,105,Desert,Salsola ruthenica Iijin.,No,Non,-26.35,-0.77,
"Mingqingxiaojingzi, Gansu",38¡50«N,102¡54«E,1350,105,Desert,Peganum harmala L.,No,AM,-26.06,5.13,
"Mingqinghongshaliangxiang, Gansu",38¡59«N,103¡30«E,1310,107.5,Desert,Lycium ruthenicum Murr.,No,AM,-27.97,7.22,
"Mingqinghongshaliangxiang, Gansu",38¡59«N,103¡30«E,1310,107.5,Desert,Salsola laricifolia Turcz. Ex Litv.,No,Non,-26.83,6.41,
"Mingqinghongshaliangxiang, Gansu",38¡59«N,103¡30«E,1310,107.5,Desert,Salsola passerina Bge.,No,Non,-14.04,3.1,
"Mingqinghongshaliangxiang, Gansu",38¡59«N,103¡30«E,1310,107.5,Desert,Salsola collina Pall.,No,Non,-14.12,3.94,
"Huanghuatanxiang, Ningxia",37¡38«N,105¡09«E,1340,268.8,Desert,Artemisia annua L.,No,AM,-25.2,-0.23,
"Huanghuatanxiang, Ningxia",37¡38«N,105¡09«E,1340,268.8,Desert,Artemisia roxburghiana Bess.,No,AM,-24.12,3.55,
"Huanghuatanxiang, Ningxia",37¡38«N,105¡09«E,1340,268.8,Desert,Sophora alopecuroides L.,Yes,AM,-25.81,-0.07,
"Huanghuatanxiang, Ningxia",37¡38«N,105¡09«E,1340,268.8,Desert,Halogeton arachnoideus Moq.,No,Non,-23.95,2.98,
"Shuangcao, Ningxia",105¡18«E,37¡05«N,1900,286.3,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-28.48,-0.19,
"Shuangcao, Ningxia",105¡18«E,37¡05«N,1900,286.3,Desert,Nitraria tangutorum Bobr.,No,AM,-25.67,5.33,
"Shuangcao, Ningxia",105¡18«E,37¡05«N,1900,286.3,Desert,Peganum harmala L.,No,AM,-26.48,1.19,
"Shuangcao, Ningxia",105¡18«E,37¡05«N,1900,286.3,Desert,Zygophyllum gobicum Maxim.,No,AM,-28.72,-0.46,
"Shuangcao, Ningxia",105¡18«E,37¡05«N,1900,286.3,Desert,Salsola collina Pall.,No,Non,-13.34,2.57,
"Shuangcao, Ningxia",105¡18«E,37¡05«N,1900,286.3,Desert,Salsola passerina Bge.,No,Non,-14.51,4.84,
"Zhitanxiang, Ningxia",105¡39«E,37¡31«N,1810,254.1,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-29.6,-0.03,
"Zhitanxiang, Ningxia",105¡39«E,37¡31«N,1810,254.1,Desert,Nitraria sibirica Pall.,No,AM,-27.98,2.57,
"Zhitanxiang, Ningxia",105¡39«E,37¡31«N,1810,254.1,Desert,Peganum harmala L.,No,AM,-25.73,4.13,
"Zhitanxiang, Ningxia",105¡39«E,37¡31«N,1810,254.1,Desert,Roegntria nutans (Keng) Keng,No,AM,-25.23,-0.23,
